model,release_date
01-ai/Yi-1.5-34B,2024-05-11 08:32:01
01-ai/Yi-1.5-34B-32K,2024-05-15 10:42:51
01-ai/Yi-1.5-34B-Chat,2024-05-10 06:47:21
01-ai/Yi-1.5-34B-Chat-16K,2024-05-15 10:45:46
01-ai/Yi-1.5-6B,2024-05-11 08:25:23
01-ai/Yi-1.5-6B-Chat,2024-05-11 10:36:37
01-ai/Yi-1.5-9B,2024-05-11 08:34:14
01-ai/Yi-1.5-9B-32K,2024-05-15 10:45:35
01-ai/Yi-1.5-9B-Chat,2024-05-10 05:38:24
01-ai/Yi-1.5-9B-Chat-16K,2024-05-15 10:45:56
01-ai/Yi-34B,2023-11-01 07:03:50
01-ai/Yi-34B-200K,2023-11-06 01:46:54
01-ai/Yi-34B-Chat,2023-11-22 09:52:12
01-ai/Yi-6B,2023-11-01 11:14:36
01-ai/Yi-6B-200K,2023-11-06 01:47:32
01-ai/Yi-6B-Chat,2023-11-22 09:52:53
01-ai/Yi-9B,2024-03-01 05:57:44
01-ai/Yi-9B-200K,2024-03-15 06:03:01
01-ai/Yi-Coder-9B-Chat,2024-08-21 02:11:52
abacusai/bigstral-12b-32k,2024-03-06 02:37:19
abacusai/bigyi-15b,2024-03-06 19:30:11
abacusai/Dracarys-72B-Instruct,2024-08-14 22:05:02
abacusai/Liberated-Qwen1.5-14B,2024-03-05 05:45:22
abacusai/Llama-3-Smaug-8B,2024-04-19 22:30:41
abacusai/Smaug-34B-v0.1,2024-01-25 17:14:17
abacusai/Smaug-72B-v0.1,2024-02-02 17:22:43
abacusai/Smaug-Llama-3-70B-Instruct-32K,2024-06-11 17:52:44
abacusai/Smaug-Mixtral-v0.1,2024-02-18 14:51:31
abacusai/Smaug-Qwen2-72B-Instruct,2024-06-26 16:39:38
ai21labs/Jamba-v0.1,2024-03-28 12:32:22
allenai/OLMo-1B-hf,2024-04-12 18:13:34
allenai/OLMo-7B-hf,2024-04-12 22:33:46
allenai/OLMo-7B-Instruct-hf,2024-06-04 19:54:24
argilla/notus-7b-v1,2023-11-16 13:09:58
argilla/notux-8x7b-v1,2023-12-12 16:11:49
berkeley-nest/Starling-LM-7B-alpha,2023-11-25 17:42:16
bigcode/starcoder2-15b,2024-02-20 17:58:19
bigcode/starcoder2-3b,2023-11-29 15:22:51
bigcode/starcoder2-7b,2024-02-20 18:00:27
bigscience/bloom-1b1,2022-05-19 11:51:48
bigscience/bloom-1b7,2022-05-19 11:52:06
bigscience/bloom-3b,2022-05-19 11:52:27
bigscience/bloom-560m,2022-05-19 11:51:24
bigscience/bloom-7b1,2022-05-19 11:53:19
CausalLM/14B,2023-10-22 11:19:12
CausalLM/34b-beta,2024-02-06 16:50:45
cognitivecomputations/dolphin-2.9-llama3-8b,2024-04-20 23:14:52
cognitivecomputations/dolphin-2.9.1-yi-1.5-34b,2024-05-18 04:50:56
cognitivecomputations/dolphin-2.9.1-yi-1.5-9b,2024-05-18 16:46:08
cognitivecomputations/dolphin-2.9.2-Phi-3-Medium,2024-05-31 03:38:23
cognitivecomputations/dolphin-2.9.2-Phi-3-Medium-abliterated,2024-06-03 01:01:40
cognitivecomputations/dolphin-2.9.2-qwen2-72b,2024-05-27 18:22:55
cognitivecomputations/dolphin-2.9.2-qwen2-7b,2024-05-24 04:46:36
cognitivecomputations/dolphin-2.9.3-mistral-7B-32k,2024-06-25 02:12:42
cognitivecomputations/dolphin-2.9.3-mistral-nemo-12b,2024-07-23 20:04:51
cognitivecomputations/dolphin-2.9.3-Yi-1.5-34B-32k,2024-06-23 15:29:59
cognitivecomputations/dolphin-2.9.4-gemma2-2b,2024-08-24 23:16:41
cognitivecomputations/dolphin-2.9.4-llama3.1-8b,2024-08-04 16:42:31
databricks/dolly-v1-6b,2023-03-23 19:04:39
databricks/dolly-v2-12b,2023-04-11 16:10:54
databricks/dolly-v2-3b,2023-04-13 05:20:15
databricks/dolly-v2-7b,2023-04-13 05:19:39
Deci/DeciLM-7B,2023-12-10 16:22:15
Deci/DeciLM-7B-instruct,2023-12-10 16:28:21
deepseek-ai/deepseek-llm-67b-chat,2023-11-29 03:30:00
deepseek-ai/deepseek-llm-7b-base,2023-11-29 03:08:22
deepseek-ai/deepseek-llm-7b-chat,2023-11-29 03:19:32
deepseek-ai/deepseek-moe-16b-base,2024-01-08 09:45:58
deepseek-ai/deepseek-moe-16b-chat,2024-01-09 04:55:35
distilbert/distilgpt2,2019-10-03 14:08:13
EleutherAI/gpt-j-6b,2021-08-05 14:30:56
EleutherAI/gpt-neo-1.3B,2021-03-30 11:12:49
EleutherAI/gpt-neo-125m,2021-04-06 01:27:04
EleutherAI/gpt-neo-2.7B,2021-03-30 11:25:07
EleutherAI/gpt-neox-20b,2022-04-07 16:36:08
EleutherAI/pythia-12b,2023-02-28 18:48:12
EleutherAI/pythia-160m,2023-02-08 19:25:46
EleutherAI/pythia-2.8b,2023-02-13 14:37:12
EleutherAI/pythia-410m,2023-02-13 18:45:00
EleutherAI/pythia-6.9b,2023-02-14 04:18:48
facebook/opt-1.3b,2022-05-11 08:26:00
facebook/opt-30b,2022-05-11 08:27:14
google/flan-t5-base,2022-10-21 10:02:31
google/flan-t5-large,2022-10-21 10:07:08
google/flan-t5-small,2022-10-21 09:59:24
google/flan-t5-xl,2022-10-21 15:43:52
google/flan-t5-xxl,2022-10-21 15:54:59
google/flan-ul2,2023-03-03 10:37:27
google/mt5-base,2020-11-17 13:59:37
google/mt5-small,2020-11-15 19:53:42
google/mt5-xl,2020-11-19 19:57:48
google/mt5-xxl,2020-11-19 21:18:29
google/switch-base-8,2022-10-24 16:58:21
google/umt5-base,2023-07-02 01:49:59
gradientai/Llama-3-8B-Instruct-Gradient-1048k,2024-04-29 10:36:56
HuggingFaceH4/zephyr-7b-alpha,2023-10-09 08:45:10
HuggingFaceH4/zephyr-7b-beta,2023-10-26 11:25:50
HuggingFaceH4/zephyr-7b-gemma-v0.1,2024-03-01 10:22:03
HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,2024-04-10 16:00:24
ibm-granite/granite-7b-base,2024-04-19 13:10:54
ibm/merlinite-7b,2024-03-01 22:57:15
IDEA-CCNL/Ziya-LLaMA-13B-v1,2023-05-16 10:32:58
Intel/neural-chat-7b-v3,2023-10-24 22:44:03
Intel/neural-chat-7b-v3-1,2023-11-14 02:10:18
Intel/neural-chat-7b-v3-2,2023-11-21 05:34:25
Intel/neural-chat-7b-v3-3,2023-12-09 11:28:48
internlm/internlm2-1_8b,2024-01-30 14:59:31
internlm/internlm2-chat-1_8b,2024-01-30 13:52:48
internlm/internlm2_5-1_8b-chat,2024-07-30 11:49:12
internlm/internlm2_5-20b-chat,2024-07-30 11:57:15
internlm/internlm2_5-7b-chat,2024-06-27 13:01:58
LLM360/K2,2024-04-17 18:50:01
LLM360/K2-Chat,2024-05-22 14:46:53
lmsys/vicuna-13b-v1.3,2023-06-18 03:38:59
lmsys/vicuna-7b-v1.3,2023-06-18 03:36:42
lmsys/vicuna-7b-v1.5,2023-07-29 04:42:33
microsoft/DialoGPT-medium,2020-03-10 18:26:54
microsoft/Orca-2-13b,2023-11-21 01:49:01
microsoft/Orca-2-7b,2023-11-21 01:49:01
microsoft/phi-1,2023-09-10 04:10:58
