chatbot_arena_name,arena_score,open_llm_name,model,IFEval Raw,BBH Raw,MATH Lvl 5 Raw,GPQA Raw,MUSR Raw,MMLU-PRO Raw,release_date,N,D
Qwen2.5-72B-Instruct,1259,Qwen/Qwen2.5-72B-Instruct,qwen2_5_72b,0.86,0.73,0.01,0.38,0.42,0.56,2024-09-19,72,18
Meta-Llama-3.1-70B-Instruct,1247,meta-llama/Meta-Llama-3.1-70B-Instruct,llama3_1_70b,0.87,0.69,0.31,0.36,0.46,0.53,2024-07-23,70,15
Gemma-2-27B-it,1219,google/gemma-2-27b-it,gemma2_27b,0.8,0.65,0.01,0.38,0.4,0.45,2024-06-27,27,13
Command R+ (08-2024),1215,CohereForAI/c4ai-command-r-plus-08-2024,c4ai_command_r_plus_08_2024,0.75,0.6,0.12,0.35,0.48,0.44,2024-08-24,104,
Llama-3-70B-Instruct,1206,meta-llama/Meta-Llama-3-70B-Instruct,llama3_70b,0.81,0.65,0.25,0.29,0.42,0.52,2024-04-18,70,15
Gemma-2-9B-it,1190,google/gemma-2-9b-it,gemma2_9b,0.74,0.6,0,0.36,0.41,0.39,2024-06-27,9,8
Qwen2-72B-Instruct,1187,Qwen/Qwen2-72B-Instruct,qwen2_72b,0.8,0.7,0.38,0.37,0.46,0.54,2024-06-07,72,7
Meta-Llama-3.1-8B-Instruct,1175,meta-llama/Meta-Llama-3.1-8B-Instruct,llama3_1_8b,0.79,0.51,0.19,0.27,0.39,0.38,2024-07-23,8,15
Qwen1.5-110B-Chat,1162,Qwen/Qwen1.5-110B-Chat,qwen1_5_110b,0.59,0.62,0,0.34,0.45,0.48,2024-04-25,110,3
01-ai/Yi-1.5-34B-Chat,1157,01-ai/Yi-1.5-34B-Chat,yi_1_5_34b,0.61,0.61,0.25,0.36,0.43,0.45,2024-05-13,34,3.6
Llama-3-8B-Instruct,1152,meta-llama/Meta-Llama-3-8B-Instruct,llama3_8b,0.48,0.49,0.09,0.29,0.38,0.36,2024-04-18,8,15
internlm/internlm2_5-20b-chat,1149,internlm/internlm2_5-20b-chat,internlm_2_5_20b,0.7,0.75,0,0.32,0.46,0.4,2024-04-18,20,
Mixtral-8x22b-Instruct-v0.1,1148,mistralai/Mixtral-8x22B-Instruct-v0.1,mixtral_moe_8x22b,0.72,0.61,0.19,0.37,0.43,0.45,2024-04-17,141,
Gemma-2-2b-it,1140,google/gemma-2-2b-it,gemma2_2b,0.57,0.42,0,0.27,0.39,0.25,2024-06-27,2,2
HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,1127,HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,zephyr_141b_a35b_v0_1,0.65,0.63,0.2,0.38,0.45,0.46,2024-04-10,141,
Qwen1.5-32B-Chat,1125,Qwen/Qwen1.5-32B-Chat,qwen1_5_32b,0.55,0.61,0.07,0.31,0.42,0.45,2024-02-04,32,3
microsoft/Phi-3-medium-4k-instruct,1123,microsoft/Phi-3-medium-4k-instruct,phi3_medium_4k,0.64,0.64,0.18,0.34,0.43,0.47,2024-04-23,14,4.9
Mixtral-8x7B-Instruct-v0.1,1114,mistralai/Mixtral-8x7B-Instruct-v0.1,mistral_8x7b_v0_1,0.56,0.5,0.09,0.3,0.42,0.37,2023-12-11,47,
01-ai/Yi-34B-Chat,1111,01-ai/Yi-34B-Chat,yi_34b,0.47,0.56,0.05,0.34,0.4,0.41,2023-11-02,34,3.1
Qwen1.5-14B-Chat,1109,Qwen/Qwen1.5-14B-Chat,qwen1_5_14b,0.48,0.52,0,0.27,0.44,0.36,2024-02-04,14,3
WizardLM/WizardLM-70B-V1.0,1106,WizardLMTeam/WizardLM-70B-V1.0,wizardlm_70b_v1_0,0.5,0.56,0.04,0.27,0.44,0.34,2023-08-09,70,2
DBRX-Instruct-Preview,1103,databricks/dbrx-instruct,dbrx,0.54,0.54,0.07,0.34,0.43,0.37,2024-03-27,132,12
Meta-Llama-3.2-3B-Instruct,1102,meta-llama/Llama-3.2-3B-Instruct,llama3_2_3b,0.74,0.46,0.17,0.28,0.35,0.32,2024-09-25,3,9
microsoft/Phi-3-small-8k-instruct,1102,microsoft/Phi-3-small-8k-instruct,phi3_small_8k,0.65,0.62,0.03,0.31,0.46,0.45,2024-04-23,7,4.9
meta-llama/Llama-2-70b-chat-hf,1093,meta-llama/Llama-2-70b-chat-hf,llama2_70b,0.5,0.3,0.01,0.26,0.37,0.24,2023-07-18,70,2
openchat/openchat-3.5-0106,1091,openchat/openchat-3.5-0106,openchat_3_5_0106,0.6,0.46,0.07,0.31,0.43,0.33,2024-01-06,7,2
berkeley-nest/Starling-LM-7B-alpha,1088,berkeley-nest/Starling-LM-7B-alpha,starling_7b,0.55,0.44,0.08,0.3,0.41,0.32,2023-11-15,7,
google/gemma-1.1-7b-it,1084,google/gemma-1.1-7b-it,gemma_1_1_7b,0.5,0.39,0.04,0.29,0.42,0.26,2024-04-05,7,6
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,1084,NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,nous_hermes_2_mixtral_8x7b_dpo,0.59,0.55,0.12,0.32,0.46,0.37,2024-01-15,47,
deepseek-ai/deepseek-llm-67b-chat,1077,deepseek-ai/deepseek-llm-67b-chat,deepseek_67b,0.56,0.52,0.07,0.32,0.51,0.39,2024-01-05,67,2
openchat/openchat_3.5,1076,openchat/openchat_3.5,openchat_3_5,0.59,0.44,0.07,0.3,0.42,0.32,2023-11-02,7,2
teknium/OpenHermes-2.5-Mistral-7B,1074,teknium/OpenHermes-2.5-Mistral-7B,openhermes_2_5_mistral_7b,0.56,0.49,0.05,0.28,0.42,0.31,2023-10-29,7,
mistralai/Mistral-7B-Instruct-v0.2,1072,mistralai/Mistral-7B-Instruct-v0.2,mistral_7b_v0_2,0.55,0.45,0.03,0.28,0.4,0.27,2023-12-11,7,
microsoft/Phi-3-mini-4k-instruct,1071,microsoft/Phi-3-mini-4k-instruct,phi3_mini_4k,0.55,0.55,0.15,0.33,0.43,0.4,2024-06-27,3.8,4.9
Qwen1.5-7B-Chat,1070,Qwen/Qwen1.5-7B-Chat,qwen1_5_7b,0.44,0.45,0,0.3,0.38,0.3,2024-02-04,7,3
meta-llama/Llama-2-13b-chat-hf,1063,meta-llama/Llama-2-13b-chat-hf,llama2_13b,0.4,0.33,0.01,0.23,0.4,0.19,2023-07-18,13,2
upstage/SOLAR-10.7B-Instruct-v1.0,1062,upstage/SOLAR-10.7B-Instruct-v1.0,solar_10_7b,0.47,0.52,0,0.31,0.39,0.31,2023-12-13,10.7,
WizardLM/WizardLM-13B-V1.2,1058,WizardLMTeam/WizardLM-13B-V1.2,wizardlm_13b_v1_2,0.34,0.45,0.02,0.26,0.44,0.25,2023-07-25,13,2
Meta-Llama-3.2-1B-Instruct,1054,meta-llama/Llama-3.2-1B-Instruct,llama3_2_1b,0.57,0.35,0.03,0.28,0.33,0.17,2024-09-24,1,9
HuggingFaceH4/zephyr-7b-beta,1053,HuggingFaceH4/zephyr-7b-beta,zephyr_7b_beta,0.5,0.43,0.03,0.29,0.39,0.28,2023-10-27,7,
HuggingFaceH4/zephyr-7b-alpha,1041,HuggingFaceH4/zephyr-7b-alpha,zephyr_7b_alpha,0.52,0.46,0.02,0.3,0.39,0.28,2023-10-14,7,
google/gemma-7b-it,1037,google/gemma-7b-it,gemma_7b,0.39,0.36,0.02,0.28,0.43,0.17,2024-02-21,7,6
