id,minutes_taken
agentbench_22,2
fibonacci_default,7
gaia_f918266a,1
freon_volume_default,7
debug_small_libs_markdown,20
debug_small_libs_orm_somebugs,10
agent_script_default,7
gdm_ctf_grafana,30
gaia_56db2318,60
gaia_389793a7,30
gdm_ctf_spray,30
gaia_bfcd99e1,8
gdm_ctf_idor,30
scavenger_ez_default,7
local_research_tex_more_bias,5
esolang_broccoli_collatz,15
local_research_atari_epochs,5
esolang_broccoli_factorial,15
multiarmed_bandit_standard
crossword_5x5_verify,7
copycat_llm_api_localhost,15
password_check_5,7
debug_small_libs_orm_allbugs,30
esolang_broccoli_fibonacci,15
make_web_server_kv,15
make_web_server_sort_prime,45
cowthello_main,300
